timestamp,Ticker,Action,Confidence,AI_Prob_Outperform_%,ThesisLiteScore,RS_1w_vs_SPY_%,RS_4w_vs_SPY_%,WeeklyVol_%,AvgVol_20d,LastPrice,JanScore,LaborExposure,EarningsDate,DaysToEarnings,EarningsRisk,SplitRisk,Why
2025-12-18 20:14:41,PPG,WATCH,Low,67.1,,0.0,-28.19,-39.19,5.01,3933,0.35,0,5.0,14.0,1.0,1.0,2.0,RS4w vs SPY: -39.19% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 5.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 31 | ATR%14: 2.94% | Vol regime (20/100): 0.30x | News7d: 14 | sent=+1.00 | int=1.00 | laborHits=2 | Labor exposure: 5.0/10 | AI: 67.1% to beat SPY next week | ThesisLiteScore: 0.00/10,67.1
2025-12-18 20:14:41,WDC,WATCH,Low,67.0,,5.68,-5.29,16.44,9.53,6950567,166.26,0,5.0,24.0,1.0,1.0,4.0,RS4w vs SPY: +16.44% | RS1w vs SPY: -5.29% | Trend: above MA20 ✅ | Weekly vol: 9.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 6.15% | Vol regime (20/100): 0.79x | News7d: 24 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 67.0% to beat SPY next week | ThesisLiteScore: 5.68/10,67.0
2025-12-18 20:14:41,WBD,WATCH,Low,64.9,,4.6,-5.4,18.85,5.81,64707569,28.23,0,5.0,26.0,1.0,1.0,4.0,RS4w vs SPY: +18.85% | RS1w vs SPY: -5.40% | Trend: above MA20 ✅ | Weekly vol: 5.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 3.15% | Vol regime (20/100): 1.19x | News7d: 26 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 64.9% to beat SPY next week | ThesisLiteScore: 4.60/10,64.9
2025-12-18 20:14:41,PNW,WATCH,Low,60.9,,0.0,-20.81,-40.61,6.95,1463,1.15,0,5.0,15.0,0.333,1.0,2.0,RS4w vs SPY: -40.61% | RS1w vs SPY: -20.81% | Trend: below MA20 ⚠️ | Weekly vol: 6.9% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 23 | ATR%14: 3.79% | Vol regime (20/100): 1.39x | News7d: 15 | sent=+0.33 | int=1.00 | laborHits=2 | Labor exposure: 5.0/10 | AI: 60.9% to beat SPY next week | ThesisLiteScore: 0.00/10,60.9
2025-12-18 20:14:41,TER,HOLD,Medium,60.4,,7.01,-0.13,18.0,7.49,3225912,192.29,-2,3.0,12.0,1.0,1.0,0.0,RS4w vs SPY: +18.00% | RS1w vs SPY: -0.13% | Trend: above MA20 ✅ | Weekly vol: 7.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 70 | ATR%14: 3.75% | Vol regime (20/100): 0.83x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 3.0/10 | AI: 60.4% to beat SPY next week | ThesisLiteScore: 7.01/10,60.4
2025-12-18 20:14:41,ALB,HOLD,Medium,60.2,,8.78,3.09,13.65,7.77,3184338,136.28,0,5.0,18.0,1.0,1.0,5.0,RS4w vs SPY: +13.65% | RS1w vs SPY: +3.09% | Trend: above MA20 ✅ | Weekly vol: 7.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 3.94% | Vol regime (20/100): 0.83x | News7d: 18 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 8.78/10,60.2
2025-12-18 20:14:41,MU,WATCH,Low,60.2,,4.79,-6.0,5.8,9.62,24706416,225.65,0,5.0,28.0,1.0,1.0,4.0,RS4w vs SPY: +5.80% | RS1w vs SPY: -6.00% | Trend: below MA20 ⚠️ | Weekly vol: 9.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.50% | Vol regime (20/100): 1.03x | News7d: 28 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 4.79/10,60.2
2025-12-18 20:14:41,INTC,WATCH,Low,55.5,,0.23,-4.2,1.51,9.44,83578600,36.06,0,5.0,25.0,0.6,1.0,4.0,RS4w vs SPY: +1.51% | RS1w vs SPY: -4.20% | Trend: below MA20 ⚠️ | Weekly vol: 9.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.90% | Vol regime (20/100): 0.75x | News7d: 25 | sent=+0.60 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 55.5% to beat SPY next week | ThesisLiteScore: 0.23/10,55.5
2025-12-18 20:24:47,OXY,WATCH,Low,72.6,,0.0,-28.19,-39.95,4.71,2599,0.31,0,5.0,19.0,1.0,1.0,5.0,RS4w vs SPY: -39.95% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 4.7% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 43 | ATR%14: 5.75% | Vol regime (20/100): 0.41x | News7d: 19 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 72.6% to beat SPY next week | ThesisLiteScore: 0.00/10,72.6
2025-12-18 20:24:47,ATO,WATCH,Low,69.5,,0.0,-34.34,-12.86,13.95,8273,0.18,0,5.0,7.0,0.333,0.583,3.0,RS4w vs SPY: -12.86% | RS1w vs SPY: -34.34% | Trend: above MA20 ✅ | Weekly vol: 14.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 77 | ATR%14: 2.57% | Vol regime (20/100): 0.47x | News7d: 7 | sent=+0.33 | int=0.58 | laborHits=3 | Labor exposure: 5.0/10 | AI: 69.5% to beat SPY next week | ThesisLiteScore: 0.00/10,69.5
2025-12-18 20:24:47,PPG,WATCH,Low,67.1,,0.0,-28.19,-39.19,5.01,3933,0.35,0,5.0,17.0,1.0,1.0,3.0,RS4w vs SPY: -39.19% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 5.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 31 | ATR%14: 2.94% | Vol regime (20/100): 0.30x | News7d: 17 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 67.1% to beat SPY next week | ThesisLiteScore: 0.00/10,67.1
2025-12-18 20:24:47,WDC,WATCH,Low,67.0,,5.68,-5.29,16.44,9.53,6950567,166.26,0,5.0,23.0,1.0,1.0,3.0,RS4w vs SPY: +16.44% | RS1w vs SPY: -5.29% | Trend: above MA20 ✅ | Weekly vol: 9.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 6.15% | Vol regime (20/100): 0.79x | News7d: 23 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 67.0% to beat SPY next week | ThesisLiteScore: 5.68/10,67.0
2025-12-18 20:24:47,WBD,WATCH,Low,64.9,,4.6,-5.4,18.85,5.81,64707569,28.23,0,5.0,26.0,1.0,1.0,4.0,RS4w vs SPY: +18.85% | RS1w vs SPY: -5.40% | Trend: above MA20 ✅ | Weekly vol: 5.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 3.15% | Vol regime (20/100): 1.19x | News7d: 26 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 64.9% to beat SPY next week | ThesisLiteScore: 4.60/10,64.9
2025-12-18 20:24:47,PNW,WATCH,Low,60.9,,0.0,-20.81,-40.61,6.95,1463,1.15,0,5.0,15.0,0.333,1.0,2.0,RS4w vs SPY: -40.61% | RS1w vs SPY: -20.81% | Trend: below MA20 ⚠️ | Weekly vol: 6.9% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 23 | ATR%14: 3.79% | Vol regime (20/100): 1.39x | News7d: 15 | sent=+0.33 | int=1.00 | laborHits=2 | Labor exposure: 5.0/10 | AI: 60.9% to beat SPY next week | ThesisLiteScore: 0.00/10,60.9
2025-12-18 20:24:47,TER,HOLD,Medium,60.4,,7.01,-0.13,18.0,7.49,3225912,192.29,-2,3.0,12.0,1.0,1.0,0.0,RS4w vs SPY: +18.00% | RS1w vs SPY: -0.13% | Trend: above MA20 ✅ | Weekly vol: 7.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 70 | ATR%14: 3.75% | Vol regime (20/100): 0.83x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 3.0/10 | AI: 60.4% to beat SPY next week | ThesisLiteScore: 7.01/10,60.4
2025-12-18 20:24:47,ALB,HOLD,Medium,60.2,,8.78,3.09,13.65,7.77,3184338,136.28,0,5.0,17.0,1.0,1.0,5.0,RS4w vs SPY: +13.65% | RS1w vs SPY: +3.09% | Trend: above MA20 ✅ | Weekly vol: 7.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 3.94% | Vol regime (20/100): 0.83x | News7d: 17 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 8.78/10,60.2
2025-12-18 20:24:47,MU,WATCH,Low,60.2,,4.79,-6.0,5.8,9.62,24706416,225.65,0,5.0,28.0,1.0,1.0,4.0,RS4w vs SPY: +5.80% | RS1w vs SPY: -6.00% | Trend: below MA20 ⚠️ | Weekly vol: 9.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.50% | Vol regime (20/100): 1.03x | News7d: 28 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 4.79/10,60.2
2025-12-18 20:24:47,INTC,WATCH,Low,55.5,,0.23,-4.2,1.51,9.44,83578600,36.06,0,5.0,25.0,0.6,1.0,4.0,RS4w vs SPY: +1.51% | RS1w vs SPY: -4.20% | Trend: below MA20 ⚠️ | Weekly vol: 9.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.90% | Vol regime (20/100): 0.75x | News7d: 25 | sent=+0.60 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 55.5% to beat SPY next week | ThesisLiteScore: 0.23/10,55.5
2025-12-18 20:34:41,OXY,WATCH,Low,72.6,,0.0,-28.19,-39.95,4.71,2599,0.31,0,5.0,19.0,1.0,1.0,5.0,RS4w vs SPY: -39.95% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 4.7% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 43 | ATR%14: 5.75% | Vol regime (20/100): 0.41x | News7d: 19 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 72.6% to beat SPY next week | ThesisLiteScore: 0.00/10,72.6
2025-12-18 20:34:41,ATO,WATCH,Low,69.5,,0.0,-34.34,-12.86,13.95,8273,0.18,0,5.0,7.0,0.333,0.583,3.0,RS4w vs SPY: -12.86% | RS1w vs SPY: -34.34% | Trend: above MA20 ✅ | Weekly vol: 14.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 77 | ATR%14: 2.57% | Vol regime (20/100): 0.47x | News7d: 7 | sent=+0.33 | int=0.58 | laborHits=3 | Labor exposure: 5.0/10 | AI: 69.5% to beat SPY next week | ThesisLiteScore: 0.00/10,69.5
2025-12-18 20:34:41,PPG,WATCH,Low,67.1,,0.0,-28.19,-39.19,5.01,3933,0.35,0,5.0,17.0,1.0,1.0,3.0,RS4w vs SPY: -39.19% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 5.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 31 | ATR%14: 2.94% | Vol regime (20/100): 0.30x | News7d: 17 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 67.1% to beat SPY next week | ThesisLiteScore: 0.00/10,67.1
2025-12-18 20:34:41,WDC,WATCH,Low,67.0,,5.68,-5.29,16.44,9.53,6950567,166.26,0,5.0,23.0,1.0,1.0,3.0,RS4w vs SPY: +16.44% | RS1w vs SPY: -5.29% | Trend: above MA20 ✅ | Weekly vol: 9.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 6.15% | Vol regime (20/100): 0.79x | News7d: 23 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 67.0% to beat SPY next week | ThesisLiteScore: 5.68/10,67.0
2025-12-18 20:34:41,WBD,WATCH,Low,64.9,,4.6,-5.4,18.85,5.81,64707569,28.23,0,5.0,26.0,1.0,1.0,4.0,RS4w vs SPY: +18.85% | RS1w vs SPY: -5.40% | Trend: above MA20 ✅ | Weekly vol: 5.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 3.15% | Vol regime (20/100): 1.19x | News7d: 26 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 64.9% to beat SPY next week | ThesisLiteScore: 4.60/10,64.9
2025-12-18 20:34:41,PNW,WATCH,Low,60.9,,0.0,-20.81,-40.61,6.95,1463,1.15,0,5.0,15.0,0.333,1.0,2.0,RS4w vs SPY: -40.61% | RS1w vs SPY: -20.81% | Trend: below MA20 ⚠️ | Weekly vol: 6.9% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 23 | ATR%14: 3.79% | Vol regime (20/100): 1.39x | News7d: 15 | sent=+0.33 | int=1.00 | laborHits=2 | Labor exposure: 5.0/10 | AI: 60.9% to beat SPY next week | ThesisLiteScore: 0.00/10,60.9
2025-12-18 20:34:41,TER,HOLD,Medium,60.4,,7.01,-0.13,18.0,7.49,3225912,192.29,-2,3.0,12.0,1.0,1.0,0.0,RS4w vs SPY: +18.00% | RS1w vs SPY: -0.13% | Trend: above MA20 ✅ | Weekly vol: 7.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 70 | ATR%14: 3.75% | Vol regime (20/100): 0.83x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 3.0/10 | AI: 60.4% to beat SPY next week | ThesisLiteScore: 7.01/10,60.4
2025-12-18 20:34:41,ALB,HOLD,Medium,60.2,,8.78,3.09,13.65,7.77,3184338,136.28,0,5.0,17.0,1.0,1.0,5.0,RS4w vs SPY: +13.65% | RS1w vs SPY: +3.09% | Trend: above MA20 ✅ | Weekly vol: 7.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 3.94% | Vol regime (20/100): 0.83x | News7d: 17 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 8.78/10,60.2
2025-12-18 20:34:41,MU,WATCH,Low,60.2,,4.79,-6.0,5.8,9.62,24706416,225.65,0,5.0,28.0,1.0,1.0,4.0,RS4w vs SPY: +5.80% | RS1w vs SPY: -6.00% | Trend: below MA20 ⚠️ | Weekly vol: 9.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.50% | Vol regime (20/100): 1.03x | News7d: 28 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 4.79/10,60.2
2025-12-18 20:34:41,INTC,WATCH,Low,55.5,,0.23,-4.2,1.51,9.44,83578600,36.06,0,5.0,25.0,0.6,1.0,4.0,RS4w vs SPY: +1.51% | RS1w vs SPY: -4.20% | Trend: below MA20 ⚠️ | Weekly vol: 9.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.90% | Vol regime (20/100): 0.75x | News7d: 25 | sent=+0.60 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 55.5% to beat SPY next week | ThesisLiteScore: 0.23/10,55.5
2025-12-18 20:44:43,OXY,WATCH,Low,72.6,,0.0,-28.19,-39.95,4.71,2599,0.31,0,5.0,19.0,1.0,1.0,5.0,RS4w vs SPY: -39.95% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 4.7% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 43 | ATR%14: 5.75% | Vol regime (20/100): 0.41x | News7d: 19 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 72.6% to beat SPY next week | ThesisLiteScore: 0.00/10,72.6
2025-12-18 20:44:43,ATO,WATCH,Low,69.5,,0.0,-34.34,-12.86,13.95,8273,0.18,0,5.0,7.0,0.333,0.583,3.0,RS4w vs SPY: -12.86% | RS1w vs SPY: -34.34% | Trend: above MA20 ✅ | Weekly vol: 14.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 77 | ATR%14: 2.57% | Vol regime (20/100): 0.47x | News7d: 7 | sent=+0.33 | int=0.58 | laborHits=3 | Labor exposure: 5.0/10 | AI: 69.5% to beat SPY next week | ThesisLiteScore: 0.00/10,69.5
2025-12-18 20:44:43,PPG,WATCH,Low,67.1,,0.0,-28.19,-39.19,5.01,3933,0.35,0,5.0,17.0,1.0,1.0,4.0,RS4w vs SPY: -39.19% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 5.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 31 | ATR%14: 2.94% | Vol regime (20/100): 0.30x | News7d: 17 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 67.1% to beat SPY next week | ThesisLiteScore: 0.00/10,67.1
2025-12-18 20:44:43,WDC,WATCH,Low,67.0,,5.68,-5.29,16.44,9.53,6950567,166.26,0,5.0,23.0,1.0,1.0,3.0,RS4w vs SPY: +16.44% | RS1w vs SPY: -5.29% | Trend: above MA20 ✅ | Weekly vol: 9.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 6.15% | Vol regime (20/100): 0.79x | News7d: 23 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 67.0% to beat SPY next week | ThesisLiteScore: 5.68/10,67.0
2025-12-18 20:44:43,WBD,WATCH,Low,64.9,,4.6,-5.4,18.85,5.81,64707569,28.23,0,5.0,26.0,1.0,1.0,4.0,RS4w vs SPY: +18.85% | RS1w vs SPY: -5.40% | Trend: above MA20 ✅ | Weekly vol: 5.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 3.15% | Vol regime (20/100): 1.19x | News7d: 26 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 64.9% to beat SPY next week | ThesisLiteScore: 4.60/10,64.9
2025-12-18 20:44:43,PNW,WATCH,Low,60.9,,0.0,-20.81,-40.61,6.95,1463,1.15,0,5.0,15.0,0.333,1.0,2.0,RS4w vs SPY: -40.61% | RS1w vs SPY: -20.81% | Trend: below MA20 ⚠️ | Weekly vol: 6.9% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 23 | ATR%14: 3.79% | Vol regime (20/100): 1.39x | News7d: 15 | sent=+0.33 | int=1.00 | laborHits=2 | Labor exposure: 5.0/10 | AI: 60.9% to beat SPY next week | ThesisLiteScore: 0.00/10,60.9
2025-12-18 20:44:43,TER,HOLD,Medium,60.4,,7.01,-0.13,18.0,7.49,3225912,192.29,-2,3.0,12.0,1.0,1.0,0.0,RS4w vs SPY: +18.00% | RS1w vs SPY: -0.13% | Trend: above MA20 ✅ | Weekly vol: 7.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 70 | ATR%14: 3.75% | Vol regime (20/100): 0.83x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 3.0/10 | AI: 60.4% to beat SPY next week | ThesisLiteScore: 7.01/10,60.4
2025-12-18 20:44:43,ALB,HOLD,Medium,60.2,,8.78,3.09,13.65,7.77,3184338,136.28,0,5.0,18.0,1.0,1.0,6.0,RS4w vs SPY: +13.65% | RS1w vs SPY: +3.09% | Trend: above MA20 ✅ | Weekly vol: 7.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 3.94% | Vol regime (20/100): 0.83x | News7d: 18 | sent=+1.00 | int=1.00 | laborHits=6 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 8.78/10,60.2
2025-12-18 20:44:43,MU,WATCH,Low,60.2,,4.79,-6.0,5.8,9.62,24706416,225.65,0,5.0,28.0,1.0,1.0,3.0,RS4w vs SPY: +5.80% | RS1w vs SPY: -6.00% | Trend: below MA20 ⚠️ | Weekly vol: 9.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.50% | Vol regime (20/100): 1.03x | News7d: 28 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 4.79/10,60.2
2025-12-18 20:44:43,INTC,WATCH,Low,55.5,,0.23,-4.2,1.51,9.44,83578600,36.06,0,5.0,25.0,0.6,1.0,4.0,RS4w vs SPY: +1.51% | RS1w vs SPY: -4.20% | Trend: below MA20 ⚠️ | Weekly vol: 9.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.90% | Vol regime (20/100): 0.75x | News7d: 25 | sent=+0.60 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 55.5% to beat SPY next week | ThesisLiteScore: 0.23/10,55.5
2025-12-18 20:54:38,OXY,WATCH,Low,72.6,,0.0,-28.19,-39.95,4.71,2599,0.31,0,5.0,19.0,1.0,1.0,5.0,RS4w vs SPY: -39.95% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 4.7% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 43 | ATR%14: 5.75% | Vol regime (20/100): 0.41x | News7d: 19 | sent=+1.00 | int=1.00 | laborHits=5 | Labor exposure: 5.0/10 | AI: 72.6% to beat SPY next week | ThesisLiteScore: 0.00/10,72.6
2025-12-18 20:54:38,ATO,WATCH,Low,69.5,,0.0,-34.34,-12.86,13.95,8273,0.18,0,5.0,7.0,0.333,0.583,3.0,RS4w vs SPY: -12.86% | RS1w vs SPY: -34.34% | Trend: above MA20 ✅ | Weekly vol: 14.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 77 | ATR%14: 2.57% | Vol regime (20/100): 0.47x | News7d: 7 | sent=+0.33 | int=0.58 | laborHits=3 | Labor exposure: 5.0/10 | AI: 69.5% to beat SPY next week | ThesisLiteScore: 0.00/10,69.5
2025-12-18 20:54:38,PPG,WATCH,Low,67.1,,0.0,-28.19,-39.19,5.01,3933,0.35,0,5.0,17.0,1.0,1.0,4.0,RS4w vs SPY: -39.19% | RS1w vs SPY: -28.19% | Trend: below MA20 ⚠️ | Weekly vol: 5.0% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 31 | ATR%14: 2.94% | Vol regime (20/100): 0.30x | News7d: 17 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 67.1% to beat SPY next week | ThesisLiteScore: 0.00/10,67.1
2025-12-18 20:54:38,WDC,WATCH,Low,67.0,,5.68,-5.29,16.44,9.53,6950567,166.26,0,5.0,23.0,1.0,1.0,3.0,RS4w vs SPY: +16.44% | RS1w vs SPY: -5.29% | Trend: above MA20 ✅ | Weekly vol: 9.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 6.15% | Vol regime (20/100): 0.79x | News7d: 23 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 67.0% to beat SPY next week | ThesisLiteScore: 5.68/10,67.0
2025-12-18 20:54:38,WBD,WATCH,Low,64.9,,4.6,-5.4,18.85,5.81,64707569,28.23,0,5.0,26.0,1.0,1.0,4.0,RS4w vs SPY: +18.85% | RS1w vs SPY: -5.40% | Trend: above MA20 ✅ | Weekly vol: 5.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 76 | ATR%14: 3.15% | Vol regime (20/100): 1.19x | News7d: 26 | sent=+1.00 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 64.9% to beat SPY next week | ThesisLiteScore: 4.60/10,64.9
2025-12-18 20:54:38,PNW,WATCH,Low,60.9,,0.0,-20.81,-40.61,6.95,1463,1.15,0,5.0,15.0,0.333,1.0,2.0,RS4w vs SPY: -40.61% | RS1w vs SPY: -20.81% | Trend: below MA20 ⚠️ | Weekly vol: 6.9% | Market vol4w: 6.11% | Regime: risk-off ⚠️ | RSI14: 23 | ATR%14: 3.79% | Vol regime (20/100): 1.39x | News7d: 15 | sent=+0.33 | int=1.00 | laborHits=2 | Labor exposure: 5.0/10 | AI: 60.9% to beat SPY next week | ThesisLiteScore: 0.00/10,60.9
2025-12-18 20:54:38,TER,HOLD,Medium,60.4,,7.01,-0.13,18.0,7.49,3225912,192.29,-2,3.0,12.0,1.0,1.0,0.0,RS4w vs SPY: +18.00% | RS1w vs SPY: -0.13% | Trend: above MA20 ✅ | Weekly vol: 7.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 70 | ATR%14: 3.75% | Vol regime (20/100): 0.83x | News7d: 12 | sent=+1.00 | int=1.00 | laborHits=0 | Labor exposure: 3.0/10 | AI: 60.4% to beat SPY next week | ThesisLiteScore: 7.01/10,60.4
2025-12-18 20:54:38,ALB,HOLD,Medium,60.2,,8.78,3.09,13.65,7.77,3184338,136.28,0,5.0,18.0,1.0,1.0,6.0,RS4w vs SPY: +13.65% | RS1w vs SPY: +3.09% | Trend: above MA20 ✅ | Weekly vol: 7.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 62 | ATR%14: 3.94% | Vol regime (20/100): 0.83x | News7d: 18 | sent=+1.00 | int=1.00 | laborHits=6 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 8.78/10,60.2
2025-12-18 20:54:38,MU,WATCH,Low,60.2,,4.79,-6.0,5.8,9.62,24706416,225.65,0,5.0,28.0,1.0,1.0,3.0,RS4w vs SPY: +5.80% | RS1w vs SPY: -6.00% | Trend: below MA20 ⚠️ | Weekly vol: 9.6% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.50% | Vol regime (20/100): 1.03x | News7d: 28 | sent=+1.00 | int=1.00 | laborHits=3 | Labor exposure: 5.0/10 | AI: 60.2% to beat SPY next week | ThesisLiteScore: 4.79/10,60.2
2025-12-18 20:54:38,INTC,WATCH,Low,55.5,,0.23,-4.2,1.51,9.44,83578600,36.06,0,5.0,25.0,0.6,1.0,4.0,RS4w vs SPY: +1.51% | RS1w vs SPY: -4.20% | Trend: below MA20 ⚠️ | Weekly vol: 9.4% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 48 | ATR%14: 5.90% | Vol regime (20/100): 0.75x | News7d: 25 | sent=+0.60 | int=1.00 | laborHits=4 | Labor exposure: 5.0/10 | AI: 55.5% to beat SPY next week | ThesisLiteScore: 0.23/10,55.5
