timestamp,Ticker,Action,Confidence,AI_Prob_Outperform_%,ThesisLiteScore,RS_1w_vs_SPY_%,RS_4w_vs_SPY_%,WeeklyVol_%,AvgVol_20d,LastPrice,JanScore,LaborExposure,EarningsDate,DaysToEarnings,EarningsRisk,SplitRisk,Why
2025-12-17 16:06:45,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,,,0,0,RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Volatility: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | ThesisLiteScore: 1.80/10
2025-12-20 17:46:09,EBAY,WATCH,Low,41.9,,1.11,-2.89,-0.92,3.02,3897136,82.53,0,5.0,8.0,1.0,0.667,1.0,RS4w vs SPY: -0.92% | RS1w vs SPY: -2.89% | Trend: above MA20 ✅ | Weekly vol: 3.0% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 50 | ATR%14: 2.28% | Vol regime (20/100): 0.69x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=1 | Labor exposure: 5.0/10 | AI: 41.9% to beat SPY next week | ThesisLiteScore: 1.11/10,41.9
2025-12-20 17:46:09,TGT,WATCH,Low,41.7,,5.57,1.98,9.52,4.49,7714503,98.6,0,5.0,3.0,1.0,0.25,0.0,RS4w vs SPY: +9.52% | RS1w vs SPY: +1.98% | Trend: above MA20 ✅ | Weekly vol: 4.5% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 92 | ATR%14: 2.29% | Vol regime (20/100): 1.00x | News7d: 3 | sent=+1.00 | int=0.25 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.7% to beat SPY next week | ThesisLiteScore: 5.57/10,41.7
2025-12-20 17:46:09,SBUX,WATCH,Low,41.2,,2.44,0.26,-3.17,3.88,8900001,85.21,0,5.0,10.0,1.0,0.833,0.0,RS4w vs SPY: -3.17% | RS1w vs SPY: +0.26% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 44 | ATR%14: 2.23% | Vol regime (20/100): 0.89x | News7d: 10 | sent=+1.00 | int=0.83 | laborHits=0 | Labor exposure: 5.0/10 | AI: 41.2% to beat SPY next week | ThesisLiteScore: 2.44/10,41.2
2025-12-20 17:46:09,MRK,WATCH,Low,40.2,,0.0,-3.7,-0.19,0.0,97,0.32,0,5.0,6.0,1.0,0.5,1.0,RS4w vs SPY: -0.19% | RS1w vs SPY: -3.70% | Trend: below MA20 ⚠️ | Weekly vol: 0.0% | Market vol4w: 2.58% | Regime: risk-on ✅ | ATR%14: 0.00% | Vol regime (20/100): 1.04x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=1 | Labor exposure: 5.0/10 | AI: 40.2% to beat SPY next week | ThesisLiteScore: 0.00/10,40.2
2025-12-20 17:46:09,AAPL,WATCH,Low,40.1,,2.48,-1.7,-2.69,2.13,40960260,272.37,0,3.0,8.0,1.0,0.667,0.0,RS4w vs SPY: -2.69% | RS1w vs SPY: -1.70% | Trend: below MA20 ⚠️ | Weekly vol: 2.1% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 40 | ATR%14: 1.64% | Vol regime (20/100): 0.80x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=0 | Labor exposure: 3.0/10 | AI: 40.1% to beat SPY next week | ThesisLiteScore: 2.48/10,40.1
2025-12-20 17:46:09,LOW,WATCH,Low,39.8,,3.44,0.69,2.82,3.79,3596813,247.96,0,5.0,0.0,0.0,0.0,0.0,RS4w vs SPY: +2.82% | RS1w vs SPY: +0.69% | Trend: above MA20 ✅ | Weekly vol: 3.8% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 60 | ATR%14: 1.91% | Vol regime (20/100): 1.21x | Labor exposure: 5.0/10 | AI: 39.8% to beat SPY next week | ThesisLiteScore: 3.44/10,39.8
2025-12-20 17:46:09,WMT,WATCH,Low,39.3,,5.13,-0.67,6.58,4.26,23975231,115.42,0,5.0,5.0,1.0,0.417,0.0,RS4w vs SPY: +6.58% | RS1w vs SPY: -0.67% | Trend: above MA20 ✅ | Weekly vol: 4.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 78 | ATR%14: 1.92% | Vol regime (20/100): 1.35x | News7d: 5 | sent=+1.00 | int=0.42 | laborHits=0 | Labor exposure: 5.0/10 | AI: 39.3% to beat SPY next week | ThesisLiteScore: 5.13/10,39.3
2025-12-20 17:46:09,DIS,WATCH,Low,39.3,,2.92,-0.16,3.39,3.26,11235792,110.95,0,5.0,8.0,1.0,0.667,1.0,RS4w vs SPY: +3.39% | RS1w vs SPY: -0.16% | Trend: above MA20 ✅ | Weekly vol: 3.3% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 72 | ATR%14: 1.92% | Vol regime (20/100): 1.20x | News7d: 8 | sent=+1.00 | int=0.67 | laborHits=1 | Labor exposure: 5.0/10 | AI: 39.3% to beat SPY next week | ThesisLiteScore: 2.92/10,39.3
2025-12-20 17:46:09,BAC,WATCH,Low,39.3,,0.0,0.42,-3.33,3.85,7184,3.1,0,5.0,4.0,1.0,0.333,0.0,RS4w vs SPY: -3.33% | RS1w vs SPY: +0.42% | Trend: below MA20 ⚠️ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 37 | ATR%14: 4.68% | Vol regime (20/100): 0.83x | News7d: 4 | sent=+1.00 | int=0.33 | laborHits=0 | Labor exposure: 5.0/10 | AI: 39.3% to beat SPY next week | ThesisLiteScore: 0.00/10,39.3
2025-12-20 17:46:09,JPM,WATCH,Low,38.8,,3.65,-0.69,2.68,3.85,9359377,314.98,0,5.0,6.0,1.0,0.5,3.0,RS4w vs SPY: +2.68% | RS1w vs SPY: -0.69% | Trend: above MA20 ✅ | Weekly vol: 3.9% | Market vol4w: 2.00% | Regime: risk-on ✅ | RSI14: 56 | ATR%14: 2.10% | Vol regime (20/100): 1.13x | News7d: 6 | sent=+1.00 | int=0.50 | laborHits=3 | Labor exposure: 5.0/10 | AI: 38.8% to beat SPY next week | ThesisLiteScore: 3.65/10,38.8
